United States5,3977745,2129657,589605,44328,281306,922836
Alabama,59632,35811,18254,190,1193,4292
Alaska,11266,6534,422,2410,1114,809
Arizona,85344,36972,4581,5317,3518,35246
Arkansas,38841,25684,7576,353,1235,4005
California,491487,141388,27019,3501,80275,234238
Colorado,66530,40833,3454,803,2973,18132
Connecticut,35754,20401,4440,97,2499,8275
Delaware,11164,5955,2987,16,675,1532
District of Columbia,9583,2979,4800,16,500,1330
Florida,224263,102537,49605,372,7618,64077
Georgia,131309,60267,45437,295,6465,17832
Hawaii,18395,4785,577,35,11441,2770
Idaho,22821,18081,240,406,516,3645
Illinois,158081,85401,27159,209,10221,33893
Indiana,83995,63426,10343,120,2524,7634
Iowa,39494,32037,2503,241,1364,3420
Kansas,39143,28227,2911,330,1483,6300
Kentucky,55945,46302,5278,89,1317,3004
Louisiana,64542,33972,24006,392,1498,4810
Maine,12605,11558,463,143,186,251
Maryland,73598,32403,23645,279,5835,11734
Massachusetts,71566,43352,6830,138,6749,12812
Michigan,113501,79053,21895,782,4304,7449
Minnesota,69803,49652,8028,1414,5658,4851
Mississippi,38390,19634,16416,259,556,1612
Missouri,75060,57079,11312,359,2131,4044
Montana,12582,10271,89,1558,152,573
Nebraska,26662,19187,1870,556,989,4248
Nevada,36272,14920,4453,510,3337,13219
New Hampshire,12417,10907,237,26,526,639
New Jersey,103203,46559,15221,179,11992,28694
New Mexico,26012,7241,476,3479,525,14515
New York,236814,115529,36881,736,26631,54049
North Carolina,120815,67091,28869,1976,5858,18091
North Dakota,11311,8794,573,985,344,579
Ohio,139217,103553,23731,253,4366,6972
Oklahoma,53067,33260,4991,5920,1760,7398
Oregon,45583,32086,1331,813,2897,8511
Pennsylvania,141948,98442,20295,393,7021,15053
Rhode Island,10967,6681,953,138,639,2612
South Carolina,58124,33918,17798,217,1288,4940
South Dakota,12331,9061,328,2163,322,559
Tennessee,81460,55375,16655,202,2161,7224
Texas,403385,140463,49624,1270,21775,191054
Utah,50779,38473,644,700,1875,7876
Vermont,5903,5370,131,25,175,139
Virginia,103229,59190,21769,253,8532,13923
Washington,88960,55307,4615,2059,10654,16072
West Virginia,19797,18448,698,27,225,330
Wisconsin,67034,49017,7099,1029,3276,6603
Wyoming,7758,6190,87,294,135,963
Puerto Rico,31272,1460,134,40,52,29573
Virgin Islands,
Guam,3371,193,34,11,3108,32
American Samoa,1058,
Northern Marianas,384,1,0,0,383,0
