United States1,3969359,99.533
Alabama,58007,100.000
Alaska,11160,100.000
Arizona,86390,100.000
Arkansas,37538,100.000
California,492284,99.956
Colorado,67109,100.000
Connecticut,37238,99.954
Delaware,11506,100.000
District of Columbia,14609,100.000
Florida,224522,100.000
Georgia,132635,100.000
Hawaii,18416,99.935
Idaho,22469,100.000
Illinois,154156,100.000
Indiana,84933,99.978
Iowa,39479,99.985
Kansas,40228,100.000
Kentucky,53373,99.811
Louisiana,64608,99.981
Maine,12382,99.992
Maryland,70300,100.000
Massachusetts,72077,100.000
Michigan,111845,99.418
Minnesota,69062,100.000
Mississippi,37580,100.000
Missouri,76122,99.926
Montana,12521,100.000
Nebraska,27110,100.000
Nevada,35924,100.000
New Hampshire,12476,100.000
New Jersey,88903,88.223
New Mexico,24048,98.155
New York,237800,99.997
New York excluding New York City,116227,99.995
New York City,121573,100.000
North Carolina,122642,100.000
North Dakota,12839,100.000
Ohio,140014,100.000
Oklahoma,51834,99.981
Oregon,46016,99.972
Pennsylvania,139899,99.256
Rhode Island,11524,100.000
South Carolina,54734,99.991
South Dakota,12963,100.000
Tennessee,83171,95.431
Texas,412382,99.988
Utah,51721,99.996
Vermont,5720,100.000
Virginia,102110,99.990
Washington,88880,100.000
West Virginia,20326,99.608
Wisconsin,66669,100.000
Wyoming,7105,99.958
Puerto Rico,31204,99.534
Virgin Islands,
Guam,2968,88.045
American Samoa,905,85.539
Northern Marianas,866,84.902
